Manager	ManagerLevel	Project	ProjectLevel	Company	Risk
AQPTM231516	2	UXVXMSMPRMUXITO	2	GBLTSGNU	0
XDORQ222219	3	QTCWJUTWZCLPODL	1	AGIBXVVK	0
RDHJK7239	2	IKVCCNTUAWUYFIA	4	XRTCXWBL	0
NOUKV15210	5	INHMXLHYHCAVQQK	4	TNYUWYAK	0
CHJZN23923	2	PFVJXWDNMNGJHVE	4	PHBATNRW	0
YTIGM22714	1	OBIZGCKVSLYQNLC	2	WLCRNPBU	0
NBHIN395	4	IBFMOOCZDOMZKMS	3	UANBDDDX	0
HFDYB5318	2	YRZZPQCLKDTUCKC	3	WLCRNPBU	0
NOUKV15210	1	QARENMICRAJNSMM	1	TRVDROPU	0
VFDMC2011	1	XLIFVLPWTYQUQKM	3	KPRKOLZZ	0
CHSVA17105	4	FKJIVANDILQPTDK	5	PUBUCIFJ	0
XAEFE9814	1	CEGWENDJLUJHMSV	5	DCPYOZXA	0
JOIMN11011	3	ZJMVWIRJMGPLORP	4	PFKIHFZH	0
YTIGM22714	1	XJFVIKGLJJOFFCI	3	GBLTSGNU	0
INHZO1029	3	EZNHXFRAMGPYIZE	5	KUGYRIYI	0
DEFSV181212	3	SFCJQERKOLDERQQ	4	BREZCJQD	0
NBHIN395	3	JFXPJHLEDEKBJEX	3	ERMSCTTI	0
EAUDF1578	5	UZFPCOWEKUYNCYY	1	VUKBPCCA	0
GCAPN16212	3	HUYWFMKZTCGYPGC	3	YCFTPFQG	0
FCKVR16810	2	DTJRFWFOXHFJFWB	4	TNYUWYAK	0
NMENM12413	1	KAKGRKCHXSHHFTI	1	XRTCXWBL	0
WKTDP17255	5	AIQNGAZVTYCHWJK	1	THLFLKNX	0
OGVTB11617	2	LVSNAGBXIRCUGQJ	2	DGXERYYB	0
EZETF91924	4	OQGMRUNHPAJDRXU	3	HOIAJYHB	0
WVYNK6233	3	JCTKNMHTVJQSTAY	5	THLFLKNX	0
TACAS122526	1	BFPPQSCAUJTBYHR	3	NDELHAZR	0
WGFWJ61224	3	WDDHHOJIWVEXTJN	3	CSXEDBQR	0
BQJUS2914	5	JWJUEPVOJVMSUXP	2	WQRGNYDH	0
ZFAFG4237	4	XGQLYNZAMQTNNTU	5	ETOYFCBK	0
YLPNG152122	5	NMPUYDKCYGEAMON	1	TNYUWYAK	0
DVZVJ9721	1	YGGJGBGGYYHKWFE	3	YEGRZEJZ	0
XDORQ222219	5	UBUAFNRZZLJGVSM	5	KPRKOLZZ	0
LVCVF202617	1	FIGSOYKGPVRXAVE	3	QYPOSFIN	0
KUDUN202618	2	QWOXZFAVCMSMNYY	4	ERMSCTTI	0
CTGDE9131	4	COPLALCYZIDXSPI	3	THLFLKNX	0
XUJMV6253	4	FJEMLGNEKVKHCCM	2	YWAOUPDH	0
GOBIQ191122	2	XRMQBKAMKQRYUJS	3	BTJPVOIV	0
JKRLF251022	5	SCOTRJAQAYGXDMG	1	ZJIDNQRR	0
OCMGG11125	4	BSTJZYPAXZDFGNG	3	BTJPVOIV	0
NVNOM8514	4	WIPQVTONEWYWGFO	4	TRVDROPU	0
TPVSR42014	2	MZMXYKZLJNCCJBN	4	JKXJAZVR	0
OCMGG11125	3	PXPPZWXRRCXAEGU	5	PUBUCIFJ	0
AQPTM231516	3	YFTZPUAKDTYZJYZ	4	EIMHGWZI	0
HZONU11321	3	NLTLYKSSXUGIBEQ	5	QYPOSFIN	0
VQLUE232416	4	FFXAJUTYXIZIKBW	3	NVRLFBSZ	0
YTIGM22714	5	UMKQPJAURURUGIC	3	OCJFTWCY	0
AVKIW13152	5	OJPPPOGQOZHLUQY	4	QEZSDSDY	0
OCMGG11125	5	BYBJPWIFRKXKJND	2	DFDHJXAN	0
GCAPN16212	3	CIRLPBRMRYSXJZU	5	XRTCXWBL	0
TADXE2229	2	MAZVCCDRSJVRSJG	5	PHWENMPJ	0
LJQDT23815	5	JRNIAJGPAHHURQT	1	VUKBPCCA	0
KUDUN202618	4	PZEWWMEKTCXPYEO	1	EIMHGWZI	0
MESUX141625	4	GLAOEQLGNUYDYLT	2	BREZCJQD	0
CCKHN8824	3	WVYOPIDQXFSALDA	1	YEGRZEJZ	0
JGNKX2669	3	GWAROQAUGPVQWRG	1	DCPYOZXA	0
OGVTB11617	2	VHWAOKFTCGJYTLA	3	ETOYFCBK	0
HHBRF211323	4	BKWCMQQGJAKPEKQ	2	BFSDFJVQ	0
GCAPN16212	4	MFCHQPNFFAZWONH	5	KPRKOLZZ	0
PUUUN10175	3	OYGNCHRGIPEGQQU	1	MBXXWTJB	0
LVCVF202617	3	EPTPBZCHNKLVLAT	3	EIMHGWZI	0
OQAID221913	2	GLVTJIJSJDZWSWZ	3	ROQHULAH	0
JVMDF1122	3	CZRZKZNHYOTUZAW	3	NDELHAZR	0
TWIYS222520	1	GVXNKQLTDFMYAIR	3	PUBUCIFJ	0
WKTDP17255	4	HGFPCYNNHRTZWKJ	5	HOIAJYHB	0
YANUA162518	5	JQVPISDEXRWBXQH	4	VUKBPCCA	0
CSOWZ11518	2	AFVCQOQBZUYUYPN	3	CSXEDBQR	0
NKKEU251920	3	KJYBAJCGXJUUDEH	4	GHFWRSVG	0
GBWTD7208	4	EZUALSXRZXBXIIY	5	OFLFLTDD	0
YANUA162518	2	WUJWSBPWXNFTPTM	4	EKXSINDK	0
EZETF91924	4	FXMNCAFOYXMWHYL	1	CFKBSKYX	0
HZONU11321	3	JKGPLQSGOHECCWP	5	CSXEDBQR	0
CHSVA17105	5	VIGAMRCBTNQYVNS	5	KRVILCZP	0
LJQDT23815	2	LUYHPFLKOPDAZLD	5	CFKBSKYX	0
CHSVA17105	5	SOFEKVNZZQDAJRM	2	QWWLBFLT	0
MWSCO25193	2	KGFFTBUQFVNTRVL	2	ETOYFCBK	0
RCEBF10510	5	IIOEOSQTQDISCIR	4	FIAGNACT	0
NHFRZ221424	2	LSBQQGLVPTWVZHR	2	EKXSINDK	0
BUGPT51822	2	FMDBAWPHCUIQJEW	2	VUKBPCCA	0
HFDYB5318	5	GZAAQGULLWVVNPX	4	ULVGOCAF	0
MWTOF61520	2	QEQSNHLTDJXSTTM	3	KPRKOLZZ	0
LNOHO191318	2	IWMVRHJHDFSGLYU	5	UANBDDDX	0
GGPEN142119	1	VNHLUICONZCSDSD	3	ACAGGRRB	0
NOUKV15210	4	TXWEXNRCSVPGRFV	5	ALOWQHOK	0
VQLUE232416	4	CTQPELVYERMMZXZ	5	GHFWRSVG	0
AQPTM231516	5	HKFCMOIOJTCKZIH	2	PFKIHFZH	0
NHFRZ221424	5	CUDYNZSMKWFYVXT	2	NHTMOXQA	0
LNOHO191318	1	EYTEPMFLHUEDJUA	4	ROQHULAH	0
VZVOY2358	3	CZHBNQUNBOGTYFY	2	ZJIDNQRR	0
CTGDE9131	5	MXKPRLIXKANMFRU	4	KUGYRIYI	0
ZEISZ2392	1	QLBTJEOKLOLGICA	2	OFLFLTDD	0
NOUKV15210	4	AAKFLCILTFYLTTK	1	CSXEDBQR	0
BLLTA172617	2	EHPQDAFZGRJZDUS	2	BREZCJQD	0
YANUA162518	2	LCYYOLNGLMQXZQB	2	ODREDKXK	0
MESUX141625	4	ISGVBLHSRVPJMGD	1	UANBDDDX	0
AQPTM231516	2	FJPMSTUBMAYEIWW	2	KRVILCZP	0
HIWEZ131626	3	UAUCKAMCCAKRHIJ	1	TRVDROPU	0
JRZKA251524	1	CRZBIKFNZQEWQJP	3	ODREDKXK	0
INHZO1029	2	QEFQBDYAIQQJEUQ	3	KPRKOLZZ	0
LJQDT23815	5	EUHNHPCFDUOBZSV	2	JKXJAZVR	0
KXTKQ191524	4	LRXQVFXPLYBBFJP	3	BTJPVOIV	0
PJSRP2325	3	OYFJWVJGIOVOJKC	1	DGXERYYB	0
SYIGP202423	1	JYLLTHLXRMLHFVR	3	GBLTSGNU	0
NHFRZ221424	2	GDZNDVOSGRRRPQB	2	BTJPVOIV	0
BLLTA172617	3	IXDLGNTUJVMWKOX	5	PHWENMPJ	0
RMZLD211716	4	THYJYXJVIZGKCXZ	4	KRVILCZP	0
ROKQA101920	2	QMJWMXWVQWTBNFH	2	EIMHGWZI	0
GOBIQ191122	4	EAYZXLQBPCJNOQZ	4	MBXXWTJB	0
OGVTB11617	2	EBGTOBJOJDVGKUG	1	DGXERYYB	0
EIBFZ132118	2	ADXQOYTCNTDIAZV	3	DGXERYYB	0
GCAPN16212	1	XUBSTNUDIFQFLIV	4	ODREDKXK	0
MESUX141625	4	BJJUNFKFEYCBVXJ	3	ODREDKXK	0
ZEISZ2392	4	YCHNPIEBQZAAJCI	2	OFLFLTDD	0
AVKIW13152	2	GTCYLVSYCZCWDIY	5	ODREDKXK	0
NKKEU251920	1	KEDFPCSZFYAKJLC	1	OFLFLTDD	0
TWIYS222520	4	UCCRQEEMZTHGTEA	4	DGXERYYB	0
KFCOL241514	4	LWYVJLKJFYTIHCA	2	JKXJAZVR	0
AKXUN91020	3	XWSNZSSQLTELGHS	1	VUKBPCCA	0
HFDYB5318	4	UOWDNLDBAKJLXZC	3	QYPOSFIN	0
JVMDF1122	4	QDKILVKTDQXKEWW	3	FIAGNACT	0
DEFSV181212	2	WVKPEEGTXQSGHPB	2	ULVGOCAF	0
JRLBI15521	4	QHZFOLTQNOUABAH	1	ULVGOCAF	0
ZFAFG4237	2	JYCQGQBAGDDIDHN	3	XYNTDYCH	0
TWIYS222520	2	ZVTMNFCYCIYRLNU	4	MBXXWTJB	0
LDFDO19253	4	CUMQWLCBWZGYGEJ	5	CFKBSKYX	0
KUDUN202618	2	IHDUEBTQEERYLGW	5	NVRLFBSZ	0
MXVFH19524	2	UWRLGONHZAHYTLI	2	KUGYRIYI	0
GGPEN142119	3	AEJXBNGOLGQQLKK	1	CFKBSKYX	0
KFCOL241514	3	LENRYGXDNSANHMT	1	TRVDROPU	0
CTGDE9131	1	TVFPWPTCSSJKTZK	3	PFKIHFZH	0
MWTOF61520	3	FXSSGCDEFAAPCKA	2	THLFLKNX	0
JKRLF251022	1	TWKJZQQWRGVOQUU	1	TEEHWQSO	0
PUUUN10175	5	HHLCBXFPXMKANNJ	5	GFICOOOK	0
QEZKV26210	5	ZGDMKKRZIQLOMRZ	4	YCFTPFQG	0
KXTKQ191524	4	JMARKKCMGJXCGRJ	2	BFSDFJVQ	0
PUUUN10175	4	AIQFDHITZOLMCWG	3	CFKBSKYX	0
CCKHN8824	4	AOMQRLNBMXETQIP	2	WQRGNYDH	0
AVKIW13152	2	PDAIKUFMFRJKCDS	5	PFKIHFZH	0
HZONU11321	2	GJBHBREBXVWTPHY	3	TJBJRLVI	0
KDSUM3511	2	MTODVFOEZULXNGQ	2	GBLTSGNU	0
LNOHO191318	3	JCAEENOCJOVVYCF	2	GBLTSGNU	0
AKXUN91020	3	QBXJQDEURWMBHMB	5	ZJIDNQRR	0
GBWTD7208	2	GNOLHUHDVRBKYYN	1	KRVILCZP	0
IIPEF23267	4	JKTFZLETFFGOHZP	3	HOIAJYHB	0
JRZKA251524	5	VXBCAIMQFOPFURK	4	BTJPVOIV	0
LDFDO19253	2	ZADFHAIAPMQLRSQ	3	HOIAJYHB	0
ZEISZ2392	3	SXKKTVZTWYNNHEX	4	AGIBXVVK	0
CHJZN23923	5	PWQTMRZJTINGFGP	4	OFLFLTDD	0
CSOWZ11518	1	SUZAUUAHVXXVCKH	2	QWWLBFLT	0
OQAID221913	4	ISRBSJVIMEVHOST	3	ZJIDNQRR	0
EZETF91924	4	WALMXCBPSTCHADR	3	ITHDWMUV	0
SCRSS2452	5	LJGFNYTFXXUGZFC	4	JKXJAZVR	0
IPOCM11259	1	CHJJIPLRWPXPJTP	1	ETOYFCBK	0
EAUDF1578	5	JWDVIZOKKKRGIQT	4	OCJFTWCY	0
INHZO1029	5	VALCYJTNBHLSHAP	5	GHFWRSVG	0
ROKQA101920	5	ZQNAULLIKSFSWIX	2	ACAGGRRB	0
JOIMN11011	2	IZPPTRMXHZQLGDD	4	QWWLBFLT	0
NMENM12413	5	TEUZWSNLXNLPOIY	2	TJBJRLVI	0
ZEISZ2392	2	WJWQWBBIXQMEQRZ	3	NVRLFBSZ	0
LNOHO191318	4	VPYUMNWNRQURTCT	5	XYNTDYCH	0
NKITN241223	3	KCAQYPNBWBEXEMW	4	XRTCXWBL	0
INHZO1029	4	IJDWAFMWVYGWKQV	1	AGIBXVVK	0
IPOCM11259	3	XGMDGSDVGNDMURD	3	ZJIDNQRR	0
KOLOS262215	5	JCFLAENOGIJFQBL	5	YEGRZEJZ	0
NMAXI142317	5	APZIBXOQODVJZWY	2	AGIBXVVK	0
TWIYS222520	2	UJPKYCXRQHCWLXA	4	KUGYRIYI	0
WGFWJ61224	2	LXRCELPTPLJKZJO	4	WLCRNPBU	0
TTLUG16211	5	WPWFASFYJMNINUO	3	CSXEDBQR	0
CSOWZ11518	3	QRVSVHYNJMYDSKR	5	NHTMOXQA	0
RCEBF10510	4	SCEJGPCNKIUPPWV	2	DFDHJXAN	0
SNIUW17611	5	VOTJWAOTZRLLGQC	2	TRVDROPU	0
NBHIN395	3	DRSMTMJCEQAXYZA	1	WQRGNYDH	0
NVNOM8514	4	JQQPOBFAGIVASSL	5	VUKBPCCA	0
IHIFU31420	5	FJIKYJBYYJUCJIS	5	EIMHGWZI	0
RCEBF10510	5	YAQXFWENNAKMODK	3	OFLFLTDD	0
DEFSV181212	1	IHFBRUMSUCNSNPJ	1	DFDHJXAN	0
HIWEZ131626	2	JSWMPSOGXCQBDIK	5	JKXJAZVR	0
JKRLF251022	1	MVBETKZNDABAJQP	2	QEZSDSDY	0
RCEBF10510	2	JHPRGPPYRNTWSTL	4	THLFLKNX	0
KDSUM3511	4	PJMLREHAOGHAIAZ	5	TNYUWYAK	0
GOBIQ191122	1	QIALWKHRIUQKRCX	3	ROQHULAH	0
WGFWJ61224	1	LRFELWQYNRSOPFJ	4	OFLFLTDD	0
RMZLD211716	4	IPQXGVETYFUQKUD	5	UANBDDDX	0
BCTEZ2568	3	JXHVRAGYPHWSVIQ	2	XRTCXWBL	0
OGVTB11617	3	QJOGJTILRFHACJY	3	QEZSDSDY	0
XUJMV6253	1	SMNIKLWMSOPJWLH	1	ACAGGRRB	0
NMENM12413	1	DHMKCOBFLFQFZIB	3	HOIAJYHB	0
CADZU26144	5	SVYSQRXUUTGXBBY	5	OLTZYPYW	0
XUJMV6253	3	UFBDXPFZEGBHBKN	2	GBLTSGNU	0
PUUUN10175	2	AAJSHSDYYPWSNKY	3	BTJPVOIV	0
LNOHO191318	2	KSSGRUMIBDBDRGM	1	OLTZYPYW	0
MXVFH19524	3	MCZAYMKOJNFGYJY	1	ZJIDNQRR	0
IHIFU31420	2	JOGONMGQRLRBLEE	1	YWAOUPDH	0
RDHJK7239	2	KUHWPTZMPGGFTRV	1	TRVDROPU	0
SNIUW17611	4	UOWWNVULOZDYLUE	5	CAAHEVEB	0
MWTOF61520	2	JQMQJVFEJMPRBZC	4	ETOYFCBK	0
NMAXI142317	5	RTCTQOWFMUDEUWE	5	QYPOSFIN	0
HHBRF211323	4	PNSCYRWFKNOXMYQ	5	CSXEDBQR	0
XUJMV6253	5	XFAQYNTSEEIARFF	2	AGIBXVVK	0
GBWTD7208	5	ZKPELUGSRSIYHAM	2	WQRGNYDH	0
RMZLD211716	1	OVRNFWYYQHAZQFJ	3	BREZCJQD	0
